seller_id,actual_condition,predicted_condition
6469674142,used,new
5921388606,new,new
5675694703,new,new
8566233865,used,used
9453231792,new,new
8108029866,new,new
1684039740,used,new
8302269051,new,new
4416631027,new,new
4631246902,used,used
6830297295,used,new
1833552445,used,used
6904497846,used,used
2614562279,used,used
2292450996,used,used
2213838300,used,used
5956289625,new,used
1397189988,used,used
7927505795,used,new
2292450996,used,used
1918777755,used,new
8220549814,used,used
7202352793,new,new
7978894306,new,new
5844254553,used,used
1159467270,used,used
4549012177,new,new
4899189258,new,new
6844534031,used,used
8606311505,new,new
7903318416,new,new
8809586197,used,used
5926406035,used,used
4543964597,used,new
6149941779,used,used
9745588629,used,used
6872718036,used,used
7490655037,new,new
1438370483,new,new
4848139669,new,new
7704929703,new,new
6846806944,new,new
6208385599,used,new
2271395094,new,new
8680193408,new,new
7118709524,new,new
2046368258,new,new
2205887285,new,used
7786166796,new,new
7121462204,new,new
8982540652,new,new
8707997021,used,used
3157228239,new,used
3984052947,used,used
1791466618,new,new
2807246674,used,used
4886958648,new,new
8582651718,used,used
8295732510,new,new
1661476324,used,used
1575123757,used,used
6400842738,new,new
4014611326,used,used
4960367242,used,used
6731823643,used,used
4898737107,new,new
4631246902,used,used
1060383033,used,used
2391876949,new,new
1648934455,new,new
2373910598,new,new
7357658938,used,new
9131178526,used,new
5851260889,new,new
3477599473,new,new
7704929703,new,new
3659062516,used,used
3955844618,new,new
4780642031,used,used
4724730883,used,used
7342357208,used,used
7470587424,used,used
9346028647,new,new
1980916321,used,used
7180710224,new,new
9670813653,new,used
9101316917,used,used
9619150334,new,new
3938170480,used,used
2688453070,new,used
6153532405,new,new
2076805192,new,new
4197484626,new,new
4109492502,new,new
8497120841,used,used
5595578217,used,used
7394214410,used,used
2076805192,new,new
8250487779,new,new
2874645086,used,used
8760912732,used,used
9678583656,used,used
9770501521,used,used
7125043835,used,used
9156794192,new,new
1630592086,used,used
3807495208,used,used
6304533889,new,new
1023620844,new,new
6105697714,new,new
6467043271,new,new
1548463373,new,used
3791623849,new,new
9308741719,used,new
8976408766,used,used
7318766168,used,used
2157547428,new,new
5256872041,new,new
1060383033,used,used
6439439728,used,new
4755579194,new,used
5794239079,new,new
8195558655,new,used
2596138711,new,new
7525300729,used,used
1105975729,used,used
4486363916,used,used
6849490508,used,used
1960294670,new,new
9632096688,used,new
8935709530,new,new
4761856698,new,used
4438309607,used,used
1730403363,used,used
2480105580,new,new
4734104911,used,new
4233815854,used,used
4671311312,used,used
3915348630,used,used
5003431377,used,used
8168394279,used,new
3840614086,new,new
4394999141,new,used
4631246902,used,used
7814504447,new,new
7491637146,new,new
4124007036,new,new
7547096797,used,used
4746918128,new,new
3135396608,used,used
5267108782,new,used
7493733616,new,new
8394743809,new,new
1023620844,new,new
1060383033,used,used
8251805624,new,new
2024252139,used,used
3856164679,used,used
2877042049,used,used
3135396608,used,used
2613948502,used,used
2588019422,new,used
9835221422,used,used
4838664540,used,used
5848030902,used,new
8612126795,new,new
6884045011,used,used
3294179414,used,used
4716401072,new,new
7574678524,used,used
3808717965,new,new
7606686131,new,new
9571664591,new,new
8173865468,used,used
9923984931,new,new
1477323124,used,used
2051902511,new,new
5815637185,used,used
2774558670,new,new
2109643087,new,new
2416130799,new,new
2151172112,new,used
6547532595,new,new
3642901731,new,new
1656115456,used,used
6355313512,new,used
6256492724,new,new
1521316964,used,used
6307531213,used,used
5289770683,used,used
5457372526,new,new
2208031023,new,new
1122690161,used,used
7704929703,new,new
8731997820,new,new
8813544369,used,used
8987395915,used,used
7461043957,used,used
4118629434,used,new
4155609906,new,new
1323738043,used,used
5648668549,used,used
6792263348,new,new
1878729104,used,used
2407432812,used,used
2368991642,new,new
6384881113,new,used
3076498308,new,new
9796822555,new,new
5647859047,new,used
5604151630,new,new
2420306274,used,used
2042229379,new,new
9793909729,new,new
2818487661,new,new
5248662274,new,new
8994856384,used,used
3303310101,new,new
6161627157,used,new
1610816275,new,new
8510135125,used,used
4257364764,used,used
5248662274,new,new
7491637146,new,new
1271894116,used,used
1744855376,used,used
1463318043,used,used
4248718919,used,used
2407935450,new,new
8435804226,new,new
1054977651,used,used
6820835120,used,used
5690248892,new,new
3846095764,used,used
6538753635,used,used
8638347636,new,new
9633069333,used,used
5292184728,used,used
4153962998,new,used
3659062516,used,used
1194088261,used,new
5113668438,used,used
2367953722,new,new
4886958648,new,new
3846095764,used,used
2888394611,new,new
1284226996,new,new
1812810081,used,used
6538753635,used,used
6080730443,used,used
1489330892,new,used
1066367010,new,new
1465052350,new,new
3996851397,new,new
9123530761,used,used
2843670034,new,new
2442037434,used,used
1014192806,used,new
9747914965,new,new
3138017220,new,new
2811461771,new,new
7326771684,new,new
6884045011,used,used
3256851756,used,used
1271504064,new,new
1144992140,used,new
6344187065,new,new
6873151545,used,used
7310651284,used,used
8429287802,new,new
6759706724,new,new
2035207873,used,used
2589323788,new,new
6172617939,new,new
5016910772,new,used
8318411361,new,new
3191274279,used,new
7525300729,used,used
9757850927,new,new
4073728501,new,new
1683292157,used,used
3514014632,used,used
9544645727,used,new
2024252139,used,used
6851407771,new,new
6812032722,used,used
3739849379,new,used
6681659937,new,new
3584248756,used,new
3834658204,used,used
7647831939,new,new
9375529236,used,used
2670988402,used,used
9615007932,used,used
9985201798,new,new
7198528240,used,used
6804056917,used,used
6453489285,used,used
9605554800,new,used
6914616416,used,used
8661763526,new,new
5192874904,new,new
2024252139,used,used
8243039461,used,used
9475325929,new,used
6333354311,used,new
8910725256,new,new
3146270275,new,new
2887153293,new,new
1017137896,new,used
4605080525,new,new
7106323686,new,new
4178419451,used,used
6980239968,new,new
3135396608,used,used
7430916764,new,used
4926447004,new,new
6538753635,used,used
7697073075,used,used
8989280700,new,new
8692865609,new,new
7199726159,new,new
3595566401,used,used
2874645086,used,used
3950467733,used,new
6869041805,new,new
6803780619,new,new
5238436913,new,new
1746512160,new,new
5588037961,new,new
6813332386,new,new
3614264099,new,new
1707268051,new,new
8768354853,used,used
2349464892,used,used
1444482006,new,new
4355334700,used,used
9064592845,new,new
7947963394,used,used
4749722712,new,new
4226059250,used,used
7106323686,new,new
8624121616,new,new
2892304455,new,new
1757916329,new,new
8657037274,new,new
8673745173,new,used
2831454153,used,used
4226059250,used,used
3187740021,new,used
8286156288,new,new
9496383274,used,used
2680952057,used,used
5407640373,used,used
8894714911,used,used
2490245686,new,new
2504721213,new,new
8536477735,used,used
4067151591,used,used
8494611175,used,used
6396603751,new,new
2486479373,used,used
2144344607,used,used
3695705783,new,new
3698022826,used,used
8780347130,new,new
9181426362,new,new
5731080209,new,new
5286930843,new,new
3815437753,new,new
4747729528,new,new
7704929703,new,new
8268370710,used,used
7719694362,used,used
8612126795,new,new
8234081553,used,used
3113609248,new,new
1595828317,new,new
3619166318,used,new
3015154613,used,used
6972484560,used,used
5293550066,new,used
5405099807,used,used
1625370211,new,new
1691019203,new,new
7285432629,used,used
2671999679,new,new
2974814782,used,used
4631246902,used,used
7876492173,new,used
8416514841,new,new
2778337941,used,used
3509350260,new,new
6547532595,new,new
7572091431,new,new
4284673960,used,used
3081842307,new,new
6904497846,used,used
2706011743,used,used
3981544751,used,used
3032298018,new,new
2122542660,used,used
4130109483,new,new
3063840676,used,used
8318006557,used,used
9884919361,used,used
1567873796,used,used
1833552445,used,used
7649325649,used,used
8346639041,used,used
5083435460,new,new
6395809390,used,used
3322693766,used,used
7508080669,new,new
8598292491,new,new
4782314863,new,new
7772844348,new,new
3738299028,used,used
6900519410,used,used
7754506376,new,new
5015274898,used,used
2874645086,new,used
4468039293,new,new
6649786247,new,used
8361947327,used,used
1478864968,new,new
7797099601,new,new
1164371356,used,used
6008494167,new,new
3312138167,new,new
5116518123,used,used
2787298843,new,new
2266820062,used,used
1883468788,used,used
7068505598,new,used
6104235312,new,new
4184670999,used,used
9053024007,new,new
5986876431,new,new
2051902511,new,new
3739636321,new,new
1629288950,used,used
2700012881,used,used
9965554142,new,new
8414634408,used,used
3710246023,new,new
6209535640,new,new
7366702417,used,used
6411639302,new,new
2349464892,used,used
2611791865,new,new
2255633841,new,used
6364325631,used,new
4261976973,used,used
2787784840,used,used
3628925525,used,used
7139632179,new,used
9886812061,used,used
2334396622,new,new
8823163297,new,new
8406520644,used,used
9519275041,used,used
2195775949,used,new
2976469938,used,used
8886065787,new,new
1100368822,used,used
9064592845,new,new
9436266112,new,new
2395603645,new,used
9334947827,used,used
9712625775,new,new
7491637146,new,new
8295732510,new,new
1018515638,new,used
2898941868,new,new
6593894947,new,used
2357526492,new,new
2160544623,new,new
4323361863,used,used
6417479473,new,new
7647831939,new,new
3252093955,new,new
6275879023,used,used
8601208795,used,used
4304844856,used,used
5727653481,new,new
6537535599,used,used
6980324956,new,new
9357808886,new,new
7783764053,new,new
1669579785,used,new
2835981329,used,new
6491298999,used,used
7702721019,used,used
3702812589,new,new
4631246902,used,used
4286363486,new,used
6172617939,new,new
